Name,Summary,Images,Blue point,Green Point,Purple Point,Keys,Calories,Carbs,Proteins,Fats
Portuguese Seafood Stew,"Portuguese Seafood Stew made with clams, shrimp, scallops and chorizo comes together in minutes! Serve it with some crusty bread and enjoy! Portuguese Seafood Stew This Portuguese Seafood Stew...","https://www.skinnytaste.com/wp-content/uploads/2009/03/Portugese-Seafood-Stew-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/03/Portugese-Seafood-Stew-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/03/Portugese-Seafood-Stew-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/03/Portugese-Seafood-Stew-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/03/Portugese-Seafood-Stew-7.jpg",4,7,4,"Dairy Free,Gluten Free,Low Carb,Under 30 Minutes",447.0,16.5,59.5,10.5
Air Fryer Roasted Cauliflower Tacos,"When you want meatless tacos, try these roasted cauliflower tacos made in the air fryer, topped with Peruvian green sauce and pickled red onions. Air Fryer Roasted Cauliflower Tacos...","https://www.skinnytaste.com/wp-content/uploads/2021/08/Air-Fryer-Roasted-Cauliflower-Tacos-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Air-Fryer-Roasted-Cauliflower-Tacos-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Air-Fryer-Roasted-Cauliflower-Tacos-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Air-Fryer-Roasted-Cauliflower-Tacos-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Air-Fryer-Roasted-Cauliflower-Tacos-6.jpg",12,12,12,"Air Fryer,Vegetarian Meals",284.0,22.5,8.5,21.5
Garden Tomato Sauce,"In the summer, there’s nothing better than homemade, fresh garden tomato sauce – perfect for your favorite pasta dish! Garden Tomato Sauce I have a garden in my backyard,...","https://www.skinnytaste.com/wp-content/uploads/2021/08/Garden-Tomato-Sauce-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Garden-Tomato-Sauce-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Garden-Tomato-Sauce-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Garden-Tomato-Sauce-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Garden-Tomato-Sauce-7.jpg",1,1,1,"Dairy Free,Freezer Meals,Gluten Free,Kid Friendly,Low Carb,Vegetarian Meals",61.0,9.0,1.5,3.0
Coconut Red Curry Shrimp Skewers,"Grilled Coconut Red Curry Shrimp Skewers with bell pepper and onions are so flavorful, thanks to one of my favorite pantry staples – red curry paste. Coconut Red Curry...","https://www.skinnytaste.com/wp-content/uploads/2021/07/Coconut-Red-Curry-Shrimp-Skewers-4-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/07/Coconut-Red-Curry-Shrimp-Skewers-4-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/07/Coconut-Red-Curry-Shrimp-Skewers-4-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/07/Coconut-Red-Curry-Shrimp-Skewers-4-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/07/Coconut-Red-Curry-Shrimp-Skewers-4.jpg",1,3,1,"Dairy Free,Gluten Free,Kid Friendly,Low Carb,Paleo,Whole 30 Recipes",252.0,13.0,36.0,5.0
Spice Rubbed Grilled Salmon with Black Beans and Corn,Grilled salmon seasoned with a smokey rub served with a fresh black beans and corn salsa. Grilled Salmon with Black Bean Salsa These grilled salmon are steaks rubbed with...,"https://www.skinnytaste.com/wp-content/uploads/2012/04/Smoky-Spice-Rubbed-Grilled-Salmon-with-Black-Beans-and-Corn-14-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/04/Smoky-Spice-Rubbed-Grilled-Salmon-with-Black-Beans-and-Corn-14-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/04/Smoky-Spice-Rubbed-Grilled-Salmon-with-Black-Beans-and-Corn-14-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/04/Smoky-Spice-Rubbed-Grilled-Salmon-with-Black-Beans-and-Corn-14-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/04/Smoky-Spice-Rubbed-Grilled-Salmon-with-Black-Beans-and-Corn-14.jpg",1,9,1,"Dairy Free,Gluten Free,Under 30 Minutes",442.0,39.0,43.5,13.0
Skinnytaste Air Fryer Dinners – Cookbook Cover Reveal,"I have big news! You all know how much I love my air fryer, my new cookbook Skinnytaste Air Fryer Dinners: 75 Healthy Recipes for Easy Weeknight Meals is...","https://www.skinnytaste.com/wp-content/uploads/2021/07/Skinnytaste-1-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/07/Skinnytaste-1-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/07/Skinnytaste-1-150x225.jpg",,,,,,,,
Strawberry Scones,"Strawberry Scones made lighter, a wonderful breakfast and a delicious way to use up fresh strawberries! Strawberry Scones Can a morning get better than freshly baked strawberry scones topped...","https://www.skinnytaste.com/wp-content/uploads/2010/06/Low-Fat-Strawberry-Scones-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/06/Low-Fat-Strawberry-Scones-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/06/Low-Fat-Strawberry-Scones-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/06/Low-Fat-Strawberry-Scones-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/06/Low-Fat-Strawberry-Scones-8.jpg",8,8,8,"Kid Friendly,Meal Prep Recipes",201.0,32.0,4.5,6.5
Air Fryer Burst Tomato Burrata Caprese Salad,Burst tomatoes are so quick and easy to make in the air fryer. Adding burrata cheese and arugula turns this into a delicious summer salad. Air Fryer Burst Tomato...,"https://www.skinnytaste.com/wp-content/uploads/2021/07/Air-Fryer-Burst-Tomato-Burrata-Caprese-Salad-5-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/07/Air-Fryer-Burst-Tomato-Burrata-Caprese-Salad-5-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/07/Air-Fryer-Burst-Tomato-Burrata-Caprese-Salad-5-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/07/Air-Fryer-Burst-Tomato-Burrata-Caprese-Salad-5-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/07/Air-Fryer-Burst-Tomato-Burrata-Caprese-Salad-5.jpg",10,10,10,"Air Fryer,Gluten Free,Low Carb,Under 30 Minutes,Vegetarian Meals",307.0,30.0,15.0,18.0
Cilantro Chicken Salad,"This easy chicken salad recipe is made with scallions, cilantro with a hint of lime. It’s a tasty twist on traditional chicken salad with some Latin flavor! Cilantro Chicken...","https://www.skinnytaste.com/wp-content/uploads/2010/06/Cilantro-Chicken-Salad-5-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/06/Cilantro-Chicken-Salad-5-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/06/Cilantro-Chicken-Salad-5-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/06/Cilantro-Chicken-Salad-5-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/06/Cilantro-Chicken-Salad-5.jpg",1,3,1,"Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Meal Prep Recipes,Under 30 Minutes",160.5,3.0,23.0,6.0
"Grilled Steak With Tomatoes, Red Onion and Balsamic","One of my favorite ways to make grilled steak in the summer. Topped with fresh chopped tomatoes, red onion, balsamic and oil. It’s fresh and a great way to...","https://www.skinnytaste.com/wp-content/uploads/2017/08/Grilled-Flank-Steak-with-Tomatoes-Red-Onion-and-Balsamic-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/08/Grilled-Flank-Steak-with-Tomatoes-Red-Onion-and-Balsamic-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/08/Grilled-Flank-Steak-with-Tomatoes-Red-Onion-and-Balsamic-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/08/Grilled-Flank-Steak-with-Tomatoes-Red-Onion-and-Balsamic-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/08/Grilled-Flank-Steak-with-Tomatoes-Red-Onion-and-Balsamic-8.jpg",4,4,4,"Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Paleo,Under 30 Minutes,Whole 30 Recipes",198.0,3.0,25.0,9.0
Baby Red Potato Salad,"This Baby Red Potato Salad is light on the mayonnaise, it will be your new go-to for summer BBQs. Baby Red Potato Salad I love a good homemade potato...","https://www.skinnytaste.com/wp-content/uploads/2009/06/Baby-Red-Potato-Salad-5-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/06/Baby-Red-Potato-Salad-5-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/06/Baby-Red-Potato-Salad-5-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/06/Baby-Red-Potato-Salad-5-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/06/Baby-Red-Potato-Salad-5.jpg",3,3,1,"Gluten Free,Kid Friendly,Vegetarian Meals",107.2,17.8,2.2,3.2
Foil Packet Cheesy Sausage and Peppers,"Foil Packet Cheesy Sausage and Peppers are so easy to make on the grill if you’re camping, vacationing, or just looking for an easy dinner with even easier cleanup!...","https://www.skinnytaste.com/wp-content/uploads/2021/06/Foil-Packet-Cheesy-Sausage-and-Peppers-9-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Foil-Packet-Cheesy-Sausage-and-Peppers-9-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Foil-Packet-Cheesy-Sausage-and-Peppers-9-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Foil-Packet-Cheesy-Sausage-and-Peppers-9-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Foil-Packet-Cheesy-Sausage-and-Peppers-9.jpg",5,5,5,"Gluten Free,Kid Friendly,Low Carb",223.0,12.5,18.5,11.5
Red White and Blue Fruit Skewers with Cheesecake Yogurt Dip,Easy Red White and Blue Fruit Skewers with Cheesecake Yogurt Dip is the perfect no-bake dessert for the summer! Red White and Blue Fruit Skewers If you need a...,"https://www.skinnytaste.com/wp-content/uploads/2013/05/strawberry-blueberry-skewers-05-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/05/strawberry-blueberry-skewers-05-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/05/strawberry-blueberry-skewers-05-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/05/strawberry-blueberry-skewers-05-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/05/strawberry-blueberry-skewers-05.jpg",2,2,2,"Kid Friendly,Under 30 Minutes,Vegetarian Meals",105.0,18.5,3.0,2.5
Mexican Adobo Rubbed Grilled Pork Tenderloin,"Make this flavorful grilled pork tenderloin seasoned with homemade Mexican adobo seasoning for a tasty weeknight dinner! Mexican Adobo Grilled Pork Tenderloin Lean pork tenderloin, rubbed with homemade Mexican...","https://www.skinnytaste.com/wp-content/uploads/2013/04/Grilled-Pork_10-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/04/Grilled-Pork_10-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/04/Grilled-Pork_10-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/04/Grilled-Pork_10-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/04/Grilled-Pork_10.jpg",2,2,2,"Dairy Free,Gluten Free,Keto Recipes,Low Carb,Paleo",182.0,3.0,27.5,6.5
Slow Cooker Pulled Pork,This easy Slow Cooker Pulled Pork is made with my homemade BBQ sauce – it smells incredible while it slow cooks all day and comes out tender and delicious....,"https://www.skinnytaste.com/wp-content/uploads/2012/04/pulled-pork-06-1-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/04/pulled-pork-06-1-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/04/pulled-pork-06-1-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/04/pulled-pork-06-1-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/04/pulled-pork-06-1.jpg",6,6,6,"Dairy Free,Gluten Free,Kid Friendly,Slow Cooker Recipes",203.0,12.5,30.5,3.0
Grilled Bruschetta Chicken,"Grilled Chicken Bruschetta is a summer staple in my house! Basically a caprese made with juicy tomatoes, mozzarella, basil, red onion, garlic and balsamic, a delicious weeknight meal! Grilled...","https://www.skinnytaste.com/wp-content/uploads/2017/05/Grilled-Chicken-Bruschetta-3-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/05/Grilled-Chicken-Bruschetta-3-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/05/Grilled-Chicken-Bruschetta-3-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/05/Grilled-Chicken-Bruschetta-3-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/05/Grilled-Chicken-Bruschetta-3.jpg",3,6,3,"Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Paleo,Under 30 Minutes,Whole 30 Recipes",282.0,7.0,38.5,11.0
Caesar-Marinated Chicken Kabobs with Zucchini and Grilled Romaine,Caesar-Marinated Chicken Zucchini Kabobs made with my homemade Caesar salad dressing and grilled romaine for a light and delicious summer dinner. Caesar-Marinated Chicken Kabobs with Zucchini Caesar dressing is...,"https://www.skinnytaste.com/wp-content/uploads/2021/06/Chicken-Caesar-Skewers-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Chicken-Caesar-Skewers-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Chicken-Caesar-Skewers-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Chicken-Caesar-Skewers-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Chicken-Caesar-Skewers-8.jpg",3,5,3,"Gluten Free,Kid Friendly,Low Carb",289.0,9.5,40.5,10.0
Grilled Shrimp Panzanella Skewers,"Grilled Shrimp Panzanella Skewers, layered with summer peaches, tomatoes, and sourdough bread, finished with balsamic and fresh basil. Grilled Shrimp Panzanella Skewers Panzanella is a traditional Italian bread salad,...","https://www.skinnytaste.com/wp-content/uploads/2021/06/Shrimp-Panzanella-Skewers-4-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Shrimp-Panzanella-Skewers-4-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Shrimp-Panzanella-Skewers-4-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Shrimp-Panzanella-Skewers-4-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Shrimp-Panzanella-Skewers-4.jpg",1,2,1,"Dairy Free,Kid Friendly,Under 30 Minutes",216.0,18.0,28.0,3.0
"Ground Turkey Skillet with Zucchini, Corn, Black Beans and Tomato","This quick, one-pot Ground Turkey Skillet with zucchini, corn, tomatoes, and black beans is great for weeknight dinner or meal prep! Ground Turkey Skillet I just love an easy...","https://www.skinnytaste.com/wp-content/uploads/2021/06/Santa-Fe-Turkey-Zucchini-Bowls_-4-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Santa-Fe-Turkey-Zucchini-Bowls_-4-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Santa-Fe-Turkey-Zucchini-Bowls_-4-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Santa-Fe-Turkey-Zucchini-Bowls_-4-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Santa-Fe-Turkey-Zucchini-Bowls_-4.jpg",4,6,4,"Dairy Free,Gluten Free,Kid Friendly,Meal Prep Recipes,Under 30 Minutes",266.0,22.5,28.0,8.5
Shrimp Ceviche,"Shrimp “cook” in lime juice to make this flavorful Shrimp Ceviche, with fresh cilantro, cucumbers and jalapeño. The perfect summer appetizer! Shrimp Ceviche This ceviche recipe is an incredibly...","https://www.skinnytaste.com/wp-content/uploads/2021/06/Shrimp-Ceviche-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Shrimp-Ceviche-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Shrimp-Ceviche-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Shrimp-Ceviche-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Shrimp-Ceviche-8.jpg",1,2,1,"Dairy Free,Gluten Free,Keto Recipes,Kid Friendly,Under 30 Minutes,Whole 30 Recipes",147.0,7.0,24.0,2.0
Asparagus and Swiss Cheese Frittata,"Spring asparagus, shallots and Swiss cheese is a delicious combination with eggs in this slimmed down frittata which is perfect for breakfast, lunch or dinner! Asparagus and Swiss Cheese...","https://www.skinnytaste.com/wp-content/uploads/2013/05/Asparagus-and-Swiss-Cheese-Frittata-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/05/Asparagus-and-Swiss-Cheese-Frittata-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/05/Asparagus-and-Swiss-Cheese-Frittata-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/05/Asparagus-and-Swiss-Cheese-Frittata-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/05/Asparagus-and-Swiss-Cheese-Frittata-7.jpg",2,4,2,"Gluten Free,Under 30 Minutes,Vegetarian Meals",243.0,9.0,19.0,15.0
Arroz Congri (Cuban Rice and Black Beans),Arroz Congri is a Cuban black bean and rice dish using canned black beans that can be served as a side or meatless main dish. Arroz Congri (Cuban Rice...,"https://www.skinnytaste.com/wp-content/uploads/2011/02/arroz-congri-rice-10-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/02/arroz-congri-rice-10-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/02/arroz-congri-rice-10-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/02/arroz-congri-rice-10-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/02/arroz-congri-rice-10.jpg",4,6,4,"Dairy Free,Gluten Free,Vegetarian Meals",143.0,27.5,6.5,2.5
Mayo-less Tuna Pasta Salad,This Mayo-less Tuna Pasta Salad is the answer if you’re not a fan of mayonnaise and love a cold tuna pasta salad for lunch on a hot summer day....,"https://www.skinnytaste.com/wp-content/uploads/2011/05/Mayo-less-Tuna-Salad-5-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/05/Mayo-less-Tuna-Salad-5-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/05/Mayo-less-Tuna-Salad-5-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/05/Mayo-less-Tuna-Salad-5-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/05/Mayo-less-Tuna-Salad-5.jpg",6,6,6,"Gluten Free,Kid Friendly,Under 30 Minutes",271.5,23.0,24.5,10.5
Grilled Flank Steak with Black Bean and Corn Salsa,"Grilled Flank Steak with a flavorful tomato, corn and black bean salsa is an easy, summer 30-minute weeknight dish! Grilled Flank Steak with Black Bean Salsa In the summer...","https://www.skinnytaste.com/wp-content/uploads/2012/05/grilled-flank-steak-10-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/05/grilled-flank-steak-10-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/05/grilled-flank-steak-10-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/05/grilled-flank-steak-10-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/05/grilled-flank-steak-10.jpg",4,5,4,"Dairy Free,Gluten Free,Kid Friendly,Under 30 Minutes",250.0,9.0,25.5,9.5
Shrimp Egg Rolls (Air Fryer or Baked),"Easy Shrimp Egg Rolls inspired by my favorite Chinese take-out only healthier, loaded with shrimp in every bite. Air fryer or baked! Shrimp Egg Rolls I love cooking egg...","https://www.skinnytaste.com/wp-content/uploads/2021/06/Air-Fryer-Shrimp-Egg-Rolls-9-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Air-Fryer-Shrimp-Egg-Rolls-9-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Air-Fryer-Shrimp-Egg-Rolls-9-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Air-Fryer-Shrimp-Egg-Rolls-9-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/06/Air-Fryer-Shrimp-Egg-Rolls-9.jpg",2,3,2,"Air Fryer,Dairy Free,Kid Friendly,Under 30 Minutes",137.0,16.0,11.0,3.0
Lobster Roll Pasta Salad,"Lobster Roll Pasta Salad, inspired by one of my favorite summer sandwiches – a lobster roll – is loaded with lobster in every bite! Lobster Roll Pasta Salad This...","https://www.skinnytaste.com/wp-content/uploads/2021/05/Lobster-Roll-Pasta-Salad-11-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Lobster-Roll-Pasta-Salad-11-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Lobster-Roll-Pasta-Salad-11-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Lobster-Roll-Pasta-Salad-11-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Lobster-Roll-Pasta-Salad-11.jpg",6,7,6,"Kid Friendly,Under 30 Minutes",282.0,34.0,23.5,5.5
Triple Berry Crisp,"When summer berries are at their peak, make this warm berry crisp, and enjoy it with a scoop of frozen yogurt or whipped cream. Triple Berry Crisp This Triple Berry Crisp...","https://www.skinnytaste.com/wp-content/uploads/2011/07/Triple-Berry-Crisp_11-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/07/Triple-Berry-Crisp_11-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/07/Triple-Berry-Crisp_11-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/07/Triple-Berry-Crisp_11-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/07/Triple-Berry-Crisp_11.jpg",6,7,4,"Gluten Free,Kid Friendly,Vegetarian Meals",152.0,29.5,2.0,4.5
Air Fryer Chicken Sandwich with Sriracha Mayo,"This spicy, Air Fryer Chicken Sandwich inspired by Chick-fil-a is made with lean chicken breast brined in pickle juice and buttermilk, served with pickles and sriracha mayo  – SO...","https://www.skinnytaste.com/wp-content/uploads/2021/05/air-fryer-chicken-sandwich-21-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/air-fryer-chicken-sandwich-21-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/air-fryer-chicken-sandwich-21-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/air-fryer-chicken-sandwich-21-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/air-fryer-chicken-sandwich-21.jpg",6,8,6,"Air Fryer,Kid Friendly",334.0,31.0,35.0,8.0
Ambrosia Fruit Salad,"This lighter Ambrosia Salad, full of fresh fruit, whipped cream, walnuts, and marshmallows, is the perfect Spring or Summer dessert. Ambrosia Fruit Salad Ambrosia is a creamy fruit salad...","https://www.skinnytaste.com/wp-content/uploads/2009/05/Ambrosia-Salad-1-2-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/05/Ambrosia-Salad-1-2-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/05/Ambrosia-Salad-1-2-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/05/Ambrosia-Salad-1-2-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/05/Ambrosia-Salad-1-2.jpg",5,5,5,"Gluten Free,Kid Friendly,Under 30 Minutes",163.0,26.0,1.5,7.0
"Quinoa Salad with Kale, Cranberries and Mint","This healthy Quinoa Salad with Kale, Cranberries and Mint is perfect for bringing to a potluck or serving with anything you’re grilling, like chicken , fish, or steaks. Quinoa...","https://www.skinnytaste.com/wp-content/uploads/2021/05/Quinoa-Salad-with-Kale-Cranberries-and-Mint-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Quinoa-Salad-with-Kale-Cranberries-and-Mint-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Quinoa-Salad-with-Kale-Cranberries-and-Mint-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Quinoa-Salad-with-Kale-Cranberries-and-Mint-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Quinoa-Salad-with-Kale-Cranberries-and-Mint-7.jpg",6,6,3,"Dairy Free,Gluten Free,Meal Prep Recipes,Vegetarian Meals",191.0,30.0,5.0,6.0
Watermelon Feta Salad,"This easy Watermelon Feta Salad, made with only four ingredients, is a summer staple at your next summer BBQ! Watermelon Feta Salad Need an easy side dish for Memorial...","https://www.skinnytaste.com/wp-content/uploads/2020/07/Watermelon-Feta-Salad-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2020/07/Watermelon-Feta-Salad-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2020/07/Watermelon-Feta-Salad-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2020/07/Watermelon-Feta-Salad-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2020/07/Watermelon-Feta-Salad-7.jpg",2,2,2,"Gluten Free,Kid Friendly,Under 30 Minutes,Vegetarian Meals",85.0,9.5,3.5,4.0
Oatmeal Berry Smoothie Bowl,"When you want oatmeal AND a smoothie bowl, try this delicious Oatmeal Berry Smoothie Bowl made with oats, frozen berries and bananas. Oatmeal Berry Smoothie Bowl This mixed berry...","https://www.skinnytaste.com/wp-content/uploads/2021/05/Oatmeal-Berry-Smoothie-Bowl-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Oatmeal-Berry-Smoothie-Bowl-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Oatmeal-Berry-Smoothie-Bowl-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Oatmeal-Berry-Smoothie-Bowl-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Oatmeal-Berry-Smoothie-Bowl-8.jpg",2,2,0,"Dairy Free,Kid Friendly,Meal Prep Recipes,Under 30 Minutes,Vegetarian Meals",154.0,33.5,3.0,2.0
Skillet Cajun Spiced Fish with Tomatoes,"Cajun spices, tomatoes, onions and peppers give any white fish extra pizazz and a little kick. Super easy and quick! Skillet Cajun Spiced Fish with Tomatoes Here I used...","https://www.skinnytaste.com/wp-content/uploads/2012/03/Skillet-Flounder-with-Tomatoes-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/03/Skillet-Flounder-with-Tomatoes-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/03/Skillet-Flounder-with-Tomatoes-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/03/Skillet-Flounder-with-Tomatoes-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/03/Skillet-Flounder-with-Tomatoes-6.jpg",0,2,0,"Dairy Free,Gluten Free,Keto Recipes,Low Carb,Paleo,Under 30 Minutes",206.0,10.0,33.0,4.0
